name  place
段宁 四川 
丁一汇 None 
陈克复 None 
丁德文 辽宁 
陈坚 None 
侯保荣 山东 
朱伯芳 江西 
邹德慈 None 
刘文清 安徽 
周镜 江苏 
周君亮 江苏 
郑哲敏 山东 
钟训正 湖南 
张祖勋 None 
郑颖人 浙江 
张锦秋(女) None 
叶可明 上海 
谢世楞 浙江 
许其凤 None 
张杰 辽宁 
项海帆 None 
吴良镛 None 
文伏波 湖南 
魏敦山 浙江 
王景全 None 
施仲衡 None 
王光远 河南 
孙伟(女) 山东 
王家耀 湖北 
沈世钊 浙江 
沙庆林 江苏 
容柏生 广东 
钱正英(女) 浙江 
茆智 None 
孟兆祯 湖北 
宁津生 安徽 
钱七虎 江苏 
马克俭 湖南 
罗绍基 广东 
卢耀如 福建 
龙驭球 湖南 
林元培 上海 
廖振鹏 四川 
李圭白 河南 
李猷嘉 江苏 
李玶 湖北 
李道增 安徽 
何镜堂 广东 
黄熙龄 None 
韩其为 湖北 
程泰宁 None 
葛修润 None 
关肇邺 北京 
冯叔瑜 四川 
董石麟 浙江 
傅熹年 四川 
陈肇元 浙江 
陈厚群 江苏 
周福霖 None 
周绪红 湖南 
周丰峻 山东 
钟登华 江西 
郑皆连 四川 
郑守仁 None 
张建民 None 
郑健龙 湖南 
张建云 江苏 
岳清瑞 None 
杨永斌 None 
张超然 None 
杨秀敏 None 
谢礼立 None 
肖绪文 陕西 
谢先启 None 
吴中如 江苏 
吴志强 None 
王瑞珠 None 
王小东 山东 
王梦恕 河南 
王建国 江苏 
王复明 None 
王浩 None 
王超 江苏 
谭述森 重庆 
任南琪 None 
任辉启 湖南 
孟建民 江苏 
秦顺全 四川 
彭永臻 山东 
钮新强 浙江 
欧进萍 湖南 
缪昌文 None 
聂建国 湖南 
马洪琪 None 
刘经南 None 
刘先林 河北 
马国馨 上海 
刘加平 陕西 
梁文灏 上海 
李建成 None 
李华军 山东 
孔宪京 江苏 
郭仁忠 江苏 
江欢成 None 
江亿 None 
黄卫 None 
胡春宏 山西 
何华武 四川 
龚晓南 浙江 
杜彦良 河北 
邓铭江 新疆 
周世宁 江苏 
崔愷 北京 
陈湘生 安徽 
陈政清 湖南 
周永茂 浙江 
崔俊芝 河南 
周邦新 江苏 
郑绵平 福建 
翟光明 None 
张勇传 河南 
赵文津 北京 
张信威 湖南 
余贻鑫 北京 
于润沧 None 
叶奇蓁 None 
许绍燮 浙江 
徐銤 江苏 
徐大懋 安徽 
鲜学福 四川 
翁史烈 浙江 
王仲奇 河北 
孙玉发 黑龙江 
沈忠厚 None 
邱中建 江苏 
钱绍钧 浙江 
钱皋韵 None 
钱鸣高 江苏 
潘自强 湖南 
彭士禄 None 
裴荣富 北京 
潘垣 湖北 
倪维斗 上海 
毛用泽 浙江 
李庆忠 江苏 
康玉柱 辽宁 
梁维燕 天津 
胡思得 浙江 
金庆焕 浙江 
胡见义 北京 
洪伯潜 福建 
何继善 None 
顾心怿 上海 
韩英铎 None 
韩大匡 上海 
古德生 None 
傅依备 湖南 
范维唐 湖北 
杜祥琬 河南 
陈毓川 None 
安继刚 上海 
常印佛 江苏 
岑可法 广东 
周守为 None 
陈清泉 None 
郑健超 None 
赵宪庚 山西 
赵文智 None 
张玉卓 None 
张铁岗 河南 
曾恒一 重庆 
岳光溪 北京 
袁士义 None 
袁亮 安徽 
于俊崇 江苏 
衣宝廉 None 
谢克昌 None 
谢和平 None 
薛禹胜 None 
夏佳文 None 
武强 None 
闻雪友 None 
王双明 北京 
王国法 山东 
汤广福 None 
万元熙 四川 
孙龙德 山东 
唐立 江苏 
孙金声 江西 
孙承纬 上海 
苏万华 None 
苏义脑 河南 
沈国荣 None 
彭先觉 湖南 
邱爱慈(女) 浙江 
彭苏萍 江西 
欧阳晓平 湖南 
毛景文 None 
罗平亚 四川 
马永生 None 
罗安 None 
刘吉臻 山西 
李焯芬 None 
李阳 None 
李晓红 重庆 
李立浧 江苏 
李根生 None 
李建刚 安徽 
康红普 山西 
蒋洪德 湖南 
雷清泉 None 
郭剑波 湖北 
黄其励 辽宁 
何多慧 None 
顾金才 None 
范维澄 贵州 
顾大钊 江苏 
樊明武 None 
邓建军 江西 
多吉 西藏 
陈勇 None 
邓运华 None 
陈森玉 None 
陈念念 上海 
蔡美峰 江苏 
左铁镛 北京 
邹竞(女) 上海 
周光耀 浙江 
朱永濬 上海 
赵连城 江苏 
赵振业 None 
张兴栋 四川 
张寿荣 河北 
袁渭康 浙江 
张国成 云南 
殷国茂 山东 
袁晴棠(女) 河南 
余永富 河南 
殷瑞钰 江苏 
杨启业 江苏 
徐匡迪 浙江 
徐承恩 浙江 
吴慰祖 江苏 
汪燮卿 安徽 
王静康(女) None 
王泽山 吉林 
武胜 黑龙江 
王淀佐 None 
唐明述 四川 
毛炳权 广东 
刘业翔 湖北 
刘伯里 江苏 
李正名 None 
李俊贤 四川 
李龙土 福建 
李东英 北京 
李恒德 河南 
李大东 北京 
江东亮 上海 
柯伟 浙江 
金涌 None 
侯芙生 江苏 
陈景 云南 
陈丙珍(女) None 
周玉 黑龙江 
周廉 None 
周克崧 None 
郑裕国 浙江 
周济 吉林 
张耀明 江苏 
张文海 福建 
张联盟 None 
张生勇 None 
薛群基 山东 
徐南平 安徽 
徐惠彬 吉林 
吴锋 None 
吴以成 广西 
徐德龙 None 
谢建新 湖南 
王震西 None 
王玉忠 山东 
王迎军(女) 河北 
翁宇庆 四川 
汪旭光 None 
王一德 浙江 
王海舟 福建 
王国栋 北京 
屠海令 北京 
谭天伟 None 
孙传尧 黑龙江 
舒兴田 上海 
沈寅初 浙江 
桑凤亭 辽宁 
邱冠周 广东 
邱定蕃 江西 
钱旭红 江苏 
钱锋 江苏 
欧阳平凯 广西 
彭金辉 云南 
潘复生 浙江 
聂祚仁 None 
刘炯天 河南 
刘中民 None 
李仲平 湖北 
毛新平 湖北 
李元元 广东 
李言荣 None 
李卫 北京 
李冠兴 上海 
蹇锡高 重庆 
姜德生 None 
黄伯云 湖南 
黄小卫(女) None 
胡永康 云南 
何季麟 河南 
高从堦 山东 
干勇 None 
戴厚良 江苏 
丁文江 上海 
陈祥宝 江苏 
付贤智 福建 
陈立泉 None 
陈芬儿 江西 
陈建峰 浙江 
赵伊君 北京 
张锡祥 山西 
张履谦 湖南 
张明高 湖北 
张光义 四川 
叶声华 None 
姚骏恩 None 
叶铭汉 None 
杨士中 重庆 
许居衍 福建 
魏子卿 河南 
魏正耀 上海 
王子才 山东 
王越 None 
王任享 福建 
苏君红 None 
汪成为 浙江 
孙忠良 上海 
孙玉 黑龙江 
宋健 山东 
潘君骅 江苏 
毛二可 None 
陆建勋 浙江 
刘永坦 湖北 
林祥棣 江苏 
刘尚合 山西 
凌永顺 None 
林永年 浙江 
梁骏吾 湖北 
李幼平 None 
李乐民 浙江 
李三立 上海 
金怡濂 None 
金国藩 浙江 
姜景山 吉林 
姜文汉 浙江 
黄培康 上海 
胡启恒(女) 北京 
何德全 北京 
胡光镇 江苏 
郭桂蓉 四川 
龚知本 江苏 
宫先仪 江苏 
高洁 山东 
陈俊亮 浙江 
陈敬熊 浙江 
蔡吉人 江苏 
贲德 吉林 
蔡鹤皋 北京 
庄松林 江苏 
赵沁平 山西 
郑南宁 江苏 
张钟华 江苏 
张尧学 湖南 
余少华 湖北 
张广军 None 
于全 江西 
叶尚福 四川 
杨小牛 None 
许祖彦 四川 
徐扬生 浙江 
吾守尔•斯拉木 None 
吴曼青 安徽 
邬江兴 浙江 
吴伟仁 四川 
吴建平 山东 
邬贺铨 广东 
韦钰(女) 广西 
王天然 黑龙江 
吴澄 浙江 
王小谟 上海 
王沙飞 None 
王恩东 山东 
谭久彬 黑龙江 
孙优贤 浙江 
沈昌祥 浙江 
潘云鹤 浙江 
孙家广 江苏 
宁滨 山西 
倪光南 浙江 
马远良 四川 
吕跃广 山东 
卢锡城 江苏 
刘泽金 None 
刘韵洁 山东 
陆军 None 
刘永坚 湖南 
刘玠 None 
廖湘科 湖南 
李同保 河南 
李天初 None 
李德毅 江苏 
李国杰 湖南 
李德仁 None 
李伯虎 None 
何友 吉林 
何新贵 None 
桂卫华 湖北 
龚惠兴 None 
高文 辽宁 
费爱国 江苏 
封锡盛 辽宁 
方滨兴 黑龙江 
方家熊 安徽 
姜会林 辽宁 
范滇元 江苏 
樊邦奎 安徽 
段宝岩 河北 
丁文华 北京 
邓中翰 江苏 
戴琼海 None 
戴浩 江苏 
陈左宁(女) None 
陈志杰 广东 
陈良惠 福建 
陈鲸 None 
柴天佑 甘肃 
陈杰 福建 
陈纯 浙江 
朱英浩 上海 
周勤之 浙江 
钟群鹏 浙江 
张立同(女) 重庆 
张贵田 河北 
钟掘(女) 江西 
张金麟 河北 
张福泽 辽宁 
曾广商 湖南 
于本水 吉林 
臧克茂 江苏 
徐志磊 None 
徐芑南 浙江 
杨士莪 天津 
徐滨士 黑龙江 
谢友柏 江苏 
徐德民 陕西 
温俊峰 山东 
王哲荣 河北 
汪槱生 浙江 
王兴治 辽宁 
王永志 辽宁 
王浚 None 
涂铭旌 重庆 
汪顺亭 辽宁 
唐任远 None 
孙敬良 山东 
苏哲子 陕西 
沈闻孙 None 
沈志云 湖南 
饶芳权 广东 
阮雪榆 广东 
钱清泉 江苏 
潘镜芙 浙江 
戚发轫 辽宁 
孟执中 浙江 
陆元九 安徽 
刘大响 湖南 
刘友梅 江西 
闵桂荣 福建 
柳百成 上海 
林宗虎 浙江 
潘健生 None 
李鸿志 None 
李鹤林 湖北 
梁晋才 广东 
李明 湖北 
林尚扬 福建 
乐嘉陵 浙江 
黄旭华 广东 
黄文虎 上海 
郭孔辉 福建 
黄崇祺 江苏 
关桥 山西 
胡正寰 湖北 
顾国彪 None 
郭重庆 陕西 
顾诵芬 江苏 
范本尧 广东 
朵英贤 甘肃 
段正澄 江苏 
陈予恕 山东 
丁衡高 江苏 
陈一坚 福建 
陈懋章 四川 
朱英富 浙江 
朱能鸿 上海 
周济 None 
钟志华 湖南 
周志成 None 
赵煦 湖南 
张彦仲 陕西 
张军 安徽 
尤政 江苏 
尹泽勇 重庆 
杨凤田 辽宁 
杨绍卿 辽宁 
杨华勇 重庆 
杨德森 None 
吴有生 浙江 
夏长亮 山东 
吴光辉 湖北 
王玉明 吉林 
王振国 湖南 
王华明 四川 
田红旗(女) 河南 
唐长红 陕西 
谭建荣 浙江 
孙逢春 None 
孙聪 辽宁 
马伟明 江苏 
路甬祥 浙江 
卢秉恒 安徽 
刘永才 吉林 
刘怡昕 山东 
邱志明 山东 
林忠钦 浙江 
刘人怀 四川 
龙乐豪 None 
李钊 河北 
李培根 湖北 
李魁武 河北 
李骏 吉林 
李椿萱 广东 
蒋庄德 辽宁 
黄先祥 江苏 
李德群 江苏 
金东寒 黑龙江 
