CellID,20180807103527_NoCellID
Date,2018-08-07 10:37:01
CH,01
JUDGE,OK

Mode,Item,count,x,y,L,x_Spec,y_Spec,L_Spec,regR,regG,regB,VBAT1-V,VBAT1(mA)-I,ELVSS-V,ELVSS(mA)-I,VDD1-V,VDD1(mA)-I,VCI-V,VCI(mA)-I,VBAT2-V,VBAT2(mA)-I,VDD2-V,VDD2(mA)-I,ALL-POWER,TuningCount,TuingTime,OK/NG
HBM,255gray,0,0.302,0.329,200.400,0.302-0.304,0.328-0.330,199.400-200.600,2616,2039,3488,5.014,268.3,3.403,266.6,1.808,154.6,3.011,0.4,0.000,0.0,7.011,48.9,2.876,41,19.031,OK
HBM,200gray,1,0.301,0.331,117.400,0.301-0.304,0.328-0.331,116.612-117.784,2141,1649,2732,5.015,166.8,3.403,165.4,1.808,154.3,3.010,0.4,0.000,0.0,7.011,47.0,2.009,15,7.331,OK
HBM,128gray,2,0.304,0.331,43.820,0.301-0.304,0.328-0.331,43.691-44.130,1511,1109,1957,5.015,66.1,3.407,64.9,1.808,154.4,3.011,0.4,0.000,0.0,7.012,45.5,1.152,17,8.232,OK
HBM,64gray,3,0.301,0.331,9.591,0.301-0.304,0.328-0.331,9.515-9.611,826,533,1221,5.015,15.5,3.407,14.5,1.808,152.9,3.010,0.4,0.000,0.0,7.012,44.8,0.719,22,17.552,OK
HBM,0gray,6,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,0,109,272,5.015,15.5,3.407,14.5,1.808,152.9,3.010,0.4,0.000,0.0,7.012,44.8,0.719,0,17.552,OK
HBM,224gray,7,0.301,0.328,149.700,0.301-0.304,0.328-0.331,149.629-151.133,2373,1813,3014,5.015,210.2,3.403,208.6,1.808,154.3,3.011,0.4,0.000,0.0,7.011,48.0,2.381,23,11.648,OK
HBM,160gray,8,0.304,0.331,72.040,0.301-0.304,0.328-0.331,71.377-72.095,1816,1364,2300,5.014,105.9,3.405,104.7,1.808,153.4,3.010,0.3,0.000,0.0,7.011,45.0,1.481,15,7.332,OK
HBM,96gray,9,0.303,0.330,23.320,0.301-0.304,0.328-0.331,23.206-23.439,1235,875,1642,5.015,36.4,3.407,35.4,1.808,154.4,3.011,0.4,0.000,0.0,7.011,45.6,0.903,16,8.108,OK
HBM,1gray,12,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,84,333,486,5.015,36.4,3.407,35.4,1.808,154.5,3.011,0.4,0.000,0.0,7.011,45.6,0.903,0,8.108,OK


