CellID,20180820192736_NoCellID
Date,2018-08-20 19:29:39
CH,01
JUDGE,OK

Mode,Item,count,x,y,L,x_Spec,y_Spec,L_Spec,regR,regG,regB,VBAT1-V,VBAT1(mA)-I,ELVSS-V,ELVSS(mA)-I,VDD1-V,VDD1(mA)-I,VCI-V,VCI(mA)-I,VBAT2-V,VBAT2(mA)-I,VDD2-V,VDD2(mA)-I,ALL-POWER,TuningCount,TuingTime,OK/NG
HBM,255gray,0,0.303,0.329,200.100,0.302-0.303,0.329-0.330,199.400-200.600,3094,2589,3794,5.010,264.4,3.500,263.1,1.806,155.3,3.011,0.3,0.000,0.0,7.807,51.1,2.926,47,22.248,OK
HBM,200gray,1,0.302,0.331,116.800,0.301-0.304,0.328-0.331,116.612-117.784,2658,2246,3171,5.011,165.4,3.501,164.1,1.807,156.3,3.012,0.3,0.000,0.0,7.807,48.2,2.063,10,5.065,OK
HBM,128gray,2,0.301,0.329,43.710,0.301-0.304,0.328-0.331,43.691-44.130,2109,1783,2524,5.012,65.9,3.503,64.9,1.807,155.1,3.013,0.3,0.000,0.0,7.807,47.8,1.212,8,4.182,OK
HBM,64gray,3,0.301,0.329,9.591,0.301-0.304,0.328-0.331,9.515-9.611,1532,1291,1905,5.013,15.6,3.504,14.8,1.807,153.9,3.013,0.3,0.000,0.0,7.808,47.2,0.778,9,9.219,OK
HBM,16gray,4,0.303,0.328,0.463,0.301-0.304,0.328-0.331,0.458-0.463,412,643,1185,5.013,0.7,3.505,0.0,1.808,156.2,3.013,0.3,0.000,0.0,7.808,53.0,0.701,27,24.695,OK
HBM,0gray,6,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,0,109,272,5.013,0.7,3.505,0.0,1.808,156.2,3.013,0.3,0.000,0.0,7.808,53.0,0.701,0,24.695,OK
HBM,224gray,7,0.301,0.331,150.000,0.301-0.304,0.328-0.331,149.629-151.133,2821,2389,3374,5.012,207.7,3.501,206.4,1.808,157.2,3.013,0.3,0.000,0.0,7.809,49.3,2.434,9,5.665,OK
HBM,160gray,8,0.303,0.331,72.020,0.301-0.304,0.328-0.331,71.377-72.095,2370,1998,2800,5.013,105.4,3.503,104.4,1.807,155.1,3.014,0.4,0.000,0.0,7.807,47.7,1.548,7,3.732,OK
HBM,96gray,9,0.301,0.331,23.270,0.301-0.304,0.328-0.331,23.206-23.439,1864,1577,2238,5.013,36.1,3.505,35.1,1.807,155.2,3.014,0.3,0.000,0.0,7.808,47.0,0.952,9,4.916,OK
HBM,36gray,10,0.304,0.330,2.692,0.301-0.304,0.328-0.331,2.689-2.716,1427,1047,1607,5.014,4.7,3.506,3.8,1.808,156.3,3.014,0.4,0.000,0.0,7.809,47.9,0.695,16,15.569,OK
HBM,9gray,11,0.376,0.297,0.187,0.227-0.379,0.247-0.412,0.073-0.220,0,614,1035,5.014,0.2,3.507,0.0,1.808,156.3,3.013,0.4,0.000,0.0,7.809,54.1,0.707,11,13.713,OK
HBM,1gray,12,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,84,333,486,5.015,0.2,3.507,0.0,1.808,156.2,3.014,0.4,0.000,0.0,7.809,54.1,0.707,0,13.713,OK


