CellID,20180807184658_NoCellID
Date,2018-08-07 18:48:41
CH,01
JUDGE,OK

Mode,Item,count,x,y,L,x_Spec,y_Spec,L_Spec,regR,regG,regB,VBAT1-V,VBAT1(mA)-I,ELVSS-V,ELVSS(mA)-I,VDD1-V,VDD1(mA)-I,VCI-V,VCI(mA)-I,VBAT2-V,VBAT2(mA)-I,VDD2-V,VDD2(mA)-I,ALL-POWER,TuningCount,TuingTime,OK/NG
HBM,255gray,0,0.302,0.330,200.100,0.302-0.304,0.328-0.330,199.400-200.600,3173,2662,3913,5.012,276.1,3.500,274.6,1.807,159.1,3.008,0.4,0.000,0.0,7.809,51.4,3.035,47,22.314,OK
HBM,200gray,1,0.301,0.330,117.500,0.301-0.304,0.328-0.331,116.612-117.784,2732,2314,3232,5.012,171.9,3.502,170.5,1.808,159.1,3.008,0.4,0.000,0.0,7.809,48.7,2.128,17,8.231,OK
HBM,128gray,2,0.302,0.329,43.830,0.301-0.304,0.328-0.331,43.691-44.130,2177,1845,2559,5.013,68.0,3.504,66.9,1.807,157.0,3.009,0.4,0.000,0.0,7.809,47.2,1.229,7,3.731,OK
HBM,64gray,3,0.302,0.329,9.594,0.301-0.304,0.328-0.331,9.515-9.611,1597,1347,1921,5.013,16.0,3.506,15.0,1.807,156.3,3.009,0.4,0.000,0.0,7.809,46.4,0.779,8,8.353,OK
HBM,16gray,4,0.302,0.328,0.459,0.301-0.304,0.328-0.331,0.458-0.463,475,695,1147,5.013,0.5,3.506,0.0,1.808,157.1,3.009,0.4,0.000,0.0,7.809,51.6,0.691,16,15.180,OK
HBM,0gray,6,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,0,109,272,5.013,0.5,3.506,0.0,1.808,157.1,3.009,0.4,0.000,0.0,7.809,51.6,0.691,0,15.180,OK
HBM,224gray,7,0.304,0.331,150.400,0.301-0.304,0.328-0.331,149.629-151.133,2922,2439,3410,5.013,215.4,3.501,214.0,1.808,157.7,3.009,0.4,0.000,0.0,7.809,49.9,2.505,9,5.666,OK
HBM,160gray,8,0.304,0.331,71.600,0.301-0.304,0.328-0.331,71.377-72.095,2431,2043,2821,5.013,107.8,3.504,106.6,1.807,158.9,3.009,0.4,0.000,0.0,7.809,48.2,1.579,9,4.632,OK
HBM,96gray,9,0.301,0.329,23.390,0.301-0.304,0.328-0.331,23.206-23.439,1929,1637,2275,5.013,37.5,3.505,36.4,1.808,157.9,3.009,0.4,0.000,0.0,7.809,47.2,0.971,12,6.282,OK
HBM,36gray,10,0.304,0.328,2.700,0.301-0.304,0.328-0.331,2.689-2.716,1497,1103,1618,5.015,4.7,3.507,3.7,1.807,158.1,3.009,0.4,0.000,0.0,7.809,47.3,0.693,11,11.255,OK
HBM,1gray,12,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,84,333,486,5.014,4.7,3.506,3.7,1.807,158.1,3.009,0.4,0.000,0.0,7.809,47.3,0.693,0,11.255,OK


